Name,NS,EW
2256,25,23
2257,24,23
2258,23,23
2259,22,23
2260,21,23
2261,40,24
2262,39,24
2263,38,24
2264,37,24
2265,36,24
2266,35,24
2267,34,24
2268,33,24
2269,32,24
2270,31,24
2271,30,24
2272,29,24
2273,28,24
2274,27,24
2275,26,24
2276,25,24
2277,24,24
2278,23,24
2279,22,24
2280,21,24
2281,40,25
2282,39,25
2283,38,25
2284,37,25
2285,36,25
2286,35,25
2287,34,25
2288,33,25
2289,32,25
2290,31,25
2291,30,25
2292,29,25
2293,28,25
2294,27,25
2295,26,25
2296,25,25
2297,24,25
2298,23,25
2299,22,25
2300,21,25
2301,40,26
2302,39,26
2303,38,26
2304,37,26
2305,36,26
2306,35,26
2307,34,26
2308,33,26
2309,32,26
2310,31,26
2311,30,26
2312,29,26
2313,28,26
2314,27,26
2315,26,26
2316,25,26
2317,24,26
2318,23,26
2319,22,26
2320,21,26
2321,40,27
2322,39,27
2323,38,27
2324,37,27
2325,36,27
2326,35,27
2327,34,27
2328,33,27
2329,32,27
2330,31,27
2331,30,27
2332,29,27
2333,28,27
2334,27,27
2335,26,27
2336,25,27
2337,24,27
2338,23,27
2339,22,27
2340,21,27
2341,40,28
2342,39,28
2343,38,28
2344,37,28
2345,36,28
2346,35,28
2347,34,28
2348,33,28
2349,32,28
2350,31,28
2351,30,28
2352,29,28
2353,28,28
2354,27,28
2355,26,28
2356,25,28
2357,24,28
2358,23,28
2359,22,28
2360,21,28
2361,40,29
2362,39,29
2363,38,29
2364,37,29
2365,36,29
2366,35,29
2367,34,29
2368,33,29
2369,32,29
2370,31,29
2371,30,29
2372,29,29
2373,28,29
2374,27,29
2375,26,29
2376,25,29
2377,24,29
2378,23,29
2379,22,29
2380,21,29
2381,40,30
2382,39,30
2383,38,30
2384,37,30
2385,36,30
2386,35,30
2387,34,30
2388,33,30
2389,32,30
2390,31,30
2391,30,30
2392,29,30
2393,28,30
2394,27,30
2395,26,30
2396,25,30
2397,24,30
2398,23,30
2399,22,30
2400,21,30
2401,40,31
2402,39,31
2403,38,31
2404,37,31
2405,36,31
2406,35,31
2407,34,31
2408,33,31
2409,32,31
2410,31,31
2411,30,31
2412,29,31
2413,28,31
2414,27,31
2415,26,31
2416,25,31
2417,24,31
2418,23,31
2419,22,31
2420,21,31
2421,40,32
2422,39,32
2423,38,32
2424,37,32
2425,36,32
2426,35,32
2427,34,32
2428,33,32
2429,32,32
2430,31,32
2431,30,32
2432,29,32
2433,28,32
2434,27,32
2435,26,32
2436,25,32
2437,24,32
2438,23,32
2439,22,32
2440,21,32
2441,40,33
2442,39,33
2443,38,33
2444,37,33
2445,36,33
2446,35,33
2447,34,33
2448,33,33
2449,32,33
2450,31,33
