"Barcode","Area","AreaPerDay","InitialSize","MeanVariance","Round","Replicate","Clover","Rhizobium","NS","EW","n.stolons","weight","growth_per_day","EndSize","HasChangedColor","Measurements","HueRate","StartHue","TimeToGreen"
"33","1833",783933,47647.7941176471,39758.5,3040.31664616088,1,1,"Banna_0311","SM101",28,2,4,25.5,0.490384615384615,182875,TRUE,44,0.653809134861967,70.3520668738591,12
"34","1834",246159,32173.0882352941,26604.1,2537.95561509584,1,1,"Aearl_0411","SM42",27,2,4,17.39,0.334423076923077,195983.5,TRUE,44,0.170529015809319,68.4060406289318,13
"35","1835",245054.5,25812.8308823529,14311,2889.7084056446,1,1,"Ctain_0747","SM42",26,2,4,18.53,0.356346153846154,159985.5,TRUE,44,0.263360680213118,68.0827805532682,13
"36","1836",526559.45,43094.5279411765,32767.1,4792.86336315148,1,1,"Banna_0101","SM120",25,2,4,30.57,0.587884615384615,196922,TRUE,43,0.224549547473688,64.6371511212429,13
"37","1837",726620.4,50975.1367647059,31797.1,3697.38830264753,1,1,"Banna_0311","SM80",24,2,4,30.54,0.587307692307692,191416,TRUE,44,0.777482214860727,65.7686312873107,9
"38","1838",284133.05,26725.7441176471,19698.8,3415.45262717469,1,1,"Mrida_0953","SM84",23,2,4,24.07,0.462884615384615,159922,TRUE,43,0.628867892023064,68.8104414283821,11
"39","1839",638601.5,46882.7867647059,25718.4,3396.34476027919,1,1,"Ccyma_0420","SM125",22,2,4,35.71,0.686730769230769,193728,TRUE,44,0.702919190303206,67.1227874596321,12
"40","1840",565488.25,37198.1878378378,11306.3,3880.67773841802,1,2,"Clfin_0320","MIX",21,2,4,32.84,0.643921568627451,166172,TRUE,47,0.6813729192366,66.0976030491359,7
"41","1841",634853.15,52357.4471428571,17986.3,2973.35300298768,1,1,"Aearl_0749","SM41",40,3,4,28.31,0.544423076923077,191423,TRUE,44,0.922357892094443,63.7605920320946,8
"42","1842",780913.15,59026.0162162162,15304.3,2088.00640944506,1,2,"Kdike_0962","MIX",39,3,4,34.68,0.68,225765,TRUE,47,0.519823579375124,63.6548502651976,6
"43","1843",282044.45,18848.1594594595,7746.3,1887.35519312299,1,2,"Aearl_1055","MIX",38,3,4,12.3,0.241176470588235,130204,TRUE,47,0.250865788974739,66.0465130688333,32
"44","1844",753945.75,48084.6142857143,28285,3818.1786193215,1,1,"Rling_0521","MIX",37,3,4,35.5,0.682692307692308,124025,TRUE,42,0.932945924331729,69.0768750006946,10
"45","1845",829708,55393.9810810811,17493.2,3519.51734294883,1,2,"Ancor_0101","SM42",36,3,4,40.92,0.802352941176471,207280,TRUE,47,0.170114466224659,72.0311946409048,27
"46","1846",308722.45,25761.5,19516.2,2831.08664724254,1,2,"Aaran_1061","SM42",35,3,4,17.16,0.336470588235294,165709,TRUE,47,0.468743179990867,61.551813168831,7
"47","1847",1202822.7,75190.2283783784,12760.4,2618.58716367666,1,2,"Banca_0947","SM27",34,3,4,34.06,0.756888888888889,226877,TRUE,41,0.948337582021671,57.1683069097525,1
"48","1848",838044,52801.4459459459,19765,2533.33781461788,1,2,"Rling_0306","MIX",33,3,4,48.19,0.944901960784314,199692,TRUE,47,0.918910981299419,62.8387730037476,7
"49","1849",658488.6,52810.1671428571,16332.6,2374.99344277187,1,1,"Aearl_0749","SM145A",32,3,4,27.75,0.533653846153846,188451,TRUE,44,1.09078419013601,62.9011802178,8
"50","1850",351446.9,26667.977027027,14859.3,2558.97910498726,1,2,"Banca_0626","SM90",31,3,4,17.56,0.399090909090909,127192,TRUE,40,0.493559694480745,63.027315017405,7
"51","1851",670592.95,48932.5842857143,29033.9,3107.9387355264,1,1,"Lflex_0743","SM132",30,3,4,27.91,0.536730769230769,192575,TRUE,44,0.603810684734665,66.9459600508667,10
"52","1852",540378.55,47699.7085714286,15931.4,2913.49518199739,1,1,"Aearl_0749","SM114",29,3,4,23.26,0.447307692307692,202151,TRUE,45,0.757736507459472,64.4889604829795,11
"53","1853",295607.25,26323.804054054,16223.8,1626.41717412899,1,2,"Aearl_0749","SM143",28,3,4,13.4,0.319047619047619,153071,TRUE,38,-0.375732650654031,75.034309839941,19
"54","1854",689812.3,52321.3371428572,31334.4,2785.03811594071,1,1,"Ilona_0845","SM121A",27,3,4,33.51,0.644423076923077,191752,TRUE,43,0.379048039734964,69.4178725364282,11
"55","1855",536903.9,34599.1712121212,25550.7,5210.49453958816,1,2,"Lflex_0411","SM25",26,3,4,24.01,0.533555555555556,176504.5,FALSE,36,0.387905866059238,64.157749649305,2
"56","1856",173653.05,16140.4279411765,23657.3,2932.90388114866,1,1,"Ctain_0531","SM105",25,3,4,15.26,0.293461538461538,91854,TRUE,44,0.256223974490563,64.2388405267452,13
"57","1857",1202511.05,71141.872972973,18744.9,3073.57137897134,1,2,"Aearl_0749","SM134A",24,3,4,29.92,0.712380952380952,195126,FALSE,38,0.120763943721356,71.1727770915605,19
"58","1858",122709.5,18350.7058823529,22243.4,2203.27607912619,1,1,"Sster_1064","SM42",23,3,4,20.16,0.387692307692308,149132,TRUE,44,0.586617446437449,61.8359314574524,12
"59","1859",353348.6,32095.7823529412,9474.4,2805.33227746708,1,1,"Aearl_0749","SM154A",22,3,4,15.08,0.29,157609,TRUE,44,1.26616962451429,63.918832689419,9
"60","1860",440854.6,39295.275,29722.3,3564.69624766677,1,1,"Rling_1061","MIX",21,3,4,31.57,0.607115384615385,175874,TRUE,43,0.35962680947198,64.2683562572833,13
"61","1861",697861.5,55183.3676470588,21032.4,4532.17051874148,1,1,"Aearl_0749","SM165A",40,4,4,27.05,0.520192307692308,186245,TRUE,42,0.770665583892274,63.8018840114919,9
"62","1862",1885779.25,90941.3310810811,38640,3908.99682386102,1,2,"Sster_0105","SM120",39,4,4,58.25,1.38690476190476,206973,TRUE,38,0.757337887234106,67.6672856325769,1
"63","1863",572711.25,47186.5571428571,19066.5,3403.46982218008,1,1,"Aearl_0749","SM96",38,4,4,24.99,0.480576923076923,195596,TRUE,45,0.810423837745293,64.9449929427622,11
"64","1864",667013,57857.5367647059,16989,3983.32015885409,1,1,"Aearl_0749","SM137B",37,4,4,28.65,0.550961538461538,208932,TRUE,44,0.971847562739816,63.8788667220676,9
"65","1865",471268.75,35538.277027027,6792.2,3247.45872404302,1,2,"Aearl_0749","SM27",36,4,4,18.33,0.407333333333333,178483,TRUE,41,0.338331633541825,64.8017612524975,22
"66","1866",1014871.65,66145.0175675676,29795.7,3897.2873432514,1,2,"Aearl_0749","SM123",35,4,4,24.18,0.575714285714286,220446,TRUE,38,-0.169909610272503,71.7561549830564,19
"67","1867",927888.7,56329.57,29618.7,3752.64632020566,1,1,"Borek_0101","SM137B",34,4,4,33.69,0.647884615384615,167818,TRUE,45,0.727813080807448,65.3698826030436,11
